method,attack,intensity,mean_nc,self_check
Qiu19-RI,simplify,0.6,0.4814559601764765,pass
Qiu19-RI,simplify,0.8,0.5205413816140151,pass
Ours,simplify,0.1,0.8694254755973816,pass
Ours,simplify,0.2,0.8794352412223816,pass
Ours,simplify,0.4,0.8275553584098816,pass
Ours,simplify,0.6,0.7897135615348816,pass
Ours,simplify,0.8,0.754638671875,pass
PC-Reversible26,outliers,0.01,0.5544951387981619,fail
PC-Reversible26,outliers,0.03,0.5100032322729671,fail
PC-Reversible26,outliers,0.05,0.5045922935173283,fail
PC-Reversible26,outliers,0.1,0.5186940631147609,fail
PC-Reversible26,outliers,0.2,0.5032194572056712,fail
Nan25-Curvature,outliers,0.01,0.6409846415057244,pass
Nan25-Curvature,outliers,0.03,0.5399665977888897,pass
Nan25-Curvature,outliers,0.05,0.515312884363245,pass
Nan25-Curvature,outliers,0.1,0.5147992824197661,pass
Nan25-Curvature,outliers,0.2,0.4784181191073625,pass
Nan25-ZW,outliers,0.01,0.6920572916666666,pass
Nan25-ZW,outliers,0.03,0.6901041666666666,pass
Nan25-ZW,outliers,0.05,0.685546875,pass
Nan25-ZW,outliers,0.1,0.69921875,pass
Nan25-ZW,outliers,0.2,0.6770833333333334,pass
Jiao23-Dual,outliers,0.01,0.4918736730615378,fail
Jiao23-Dual,outliers,0.03,0.5074163605853778,fail
Jiao23-Dual,outliers,0.05,0.5081811024716697,fail
Jiao23-Dual,outliers,0.1,0.49811944315664375,fail
Jiao23-Dual,outliers,0.2,0.5308699756784434,fail
Qiu19-RI,outliers,0.01,0.5045201214160105,pass
Qiu19-RI,outliers,0.03,0.48634131004097797,pass
Qiu19-RI,outliers,0.05,0.5161535114170722,pass
Qiu19-RI,outliers,0.1,0.5045274072324174,pass
Qiu19-RI,outliers,0.2,0.5063599644147717,pass
Ours,outliers,0.01,0.6483561396598816,pass
Ours,outliers,0.03,0.6460774540901184,pass
Ours,outliers,0.05,0.6608479619026184,pass
Ours,outliers,0.1,0.7502034306526184,pass
Ours,outliers,0.2,0.6628825068473816,pass
PC-Reversible26,sequential,0.1,0.4803226445020234,fail
PC-Reversible26,sequential,0.2,0.5150375416803695,fail
PC-Reversible26,sequential,0.4,0.4859504008445394,fail
PC-Reversible26,sequential,0.6,0.48933392682857263,fail
PC-Reversible26,sequential,0.8,0.48135706822057506,fail
Nan25-Curvature,sequential,0.1,0.5013222870205126,pass
Nan25-Curvature,sequential,0.2,0.4777245603480154,pass
Nan25-Curvature,sequential,0.4,0.4912100791659837,pass
Nan25-Curvature,sequential,0.6,0.5033128516739134,pass
Nan25-Curvature,sequential,0.8,0.5172487964585711,pass
Nan25-ZW,sequential,0.1,0.5950520833333334,pass
Nan25-ZW,sequential,0.2,0.5865885416666666,pass
Nan25-ZW,sequential,0.4,0.6171875,pass
Nan25-ZW,sequential,0.6,0.6067708333333334,pass
Nan25-ZW,sequential,0.8,0.578125,pass
Jiao23-Dual,sequential,0.1,0.48859815618325153,fail
Jiao23-Dual,sequential,0.2,0.4746079708007398,fail
Jiao23-Dual,sequential,0.4,0.4939977472860755,fail
Jiao23-Dual,sequential,0.6,0.5022779656185309,fail
Jiao23-Dual,sequential,0.8,0.5081964401694573,fail
Qiu19-RI,sequential,0.1,0.48833437177322575,pass
Qiu19-RI,sequential,0.2,0.5031642438612024,pass
Qiu19-RI,sequential,0.4,0.5169048730482065,pass
Qiu19-RI,sequential,0.6,0.5205004183994407,pass
Qiu19-RI,sequential,0.8,0.5005649352896577,pass
Ours,sequential,0.1,0.8497721552848816,pass
Ours,sequential,0.2,0.861083984375,pass
Ours,sequential,0.4,0.8245849609375,pass
Ours,sequential,0.6,0.8120930790901184,pass
Ours,sequential,0.8,0.7289225459098816,pass
