variant,attack,intensity,mean,q05,auc,eer,semantic_ratio,coordinate_ratio,tar_at_far5,tar_at_far1
Base,relation_delete,1.0,0.5725555419921875,0.40444335937500003,0.4850802951388889,0.5034722222222222,0.10432333206112482,0.6240324313823493,0.0,0.0
Base,semantic_relabel,0.1,0.84429931640625,0.726220703125,0.9734700520833334,0.07700892857142858,1.0,1.0,0.671875,0.65625
Base,semantic_relabel,0.2,0.7987518310546875,0.6634277343749999,0.9473198784722222,0.14050099206349206,1.0,1.0,0.5,0.46875
Base,semantic_relabel,0.4,0.7500762939453125,0.609521484375,0.8878464471726191,0.2027529761904762,1.0,1.0,0.296875,0.265625
Base,semantic_relabel,0.6,0.7173004150390625,0.547705078125,0.8362668960813492,0.23251488095238096,1.0,1.0,0.21875,0.203125
Base,semantic_relabel,0.8,0.6934661865234375,0.528955078125,0.7893996465773809,0.29625496031746035,1.0,1.0,0.203125,0.15625
Base,spatial_crop,0.1,0.8956298828125,0.715625,0.9850337921626984,0.06225198412698413,0.8662131104953742,0.8760291053938052,0.921875,0.90625
Base,spatial_crop,0.2,0.8396148681640625,0.6504394531250001,0.9573257688492064,0.10701884920634921,0.7483020882274379,0.7562618214454362,0.703125,0.6875
Base,spatial_crop,0.4,0.7745208740234375,0.5637695312500001,0.8934035528273809,0.1762152777777778,0.628249458773541,0.6360402589422275,0.46875,0.4375
Base,spatial_crop,0.6,0.7000732421875,0.481640625,0.7801184275793651,0.2957589285714286,0.37946461693197847,0.3928530803880419,0.203125,0.171875
Base,spatial_crop,0.8,0.6588592529296875,0.468896484375,0.7085115947420635,0.34375,0.25745211516345107,0.27343028645661027,0.0625,0.03125
Base,building_add,0.1,0.6047821044921875,0.40224609375,0.5405970982142857,0.4835069444444444,1.112753954620896,1.1092552110722274,0.078125,0.078125
Base,building_add,0.2,0.4696807861328125,0.357861328125,0.19020879836309523,0.7347470238095238,1.235146569154337,1.2428552629054674,0.03125,0.03125
Base,building_add,0.4,0.4399871826171875,0.331494140625,0.13485863095238096,0.8218005952380952,1.3529594738454802,1.359155305628676,0.0,0.0
Base,building_add,0.6,0.42510986328125,0.328857421875,0.11303323412698413,0.7837301587301587,1.602744880364446,1.6127284781324402,0.0,0.0
Base,building_add,0.8,0.4209136962890625,0.33203125,0.1058989025297619,0.8120039682539683,1.7384664096254105,1.7416370629509252,0.0,0.0
Base,id_rename,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,object_reorder,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,coordinate_unit,0.001,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,coordinate_unit,1000.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0
Base,cityjson_roundtrip,1.0,0.7034454345703125,0.461279296875,0.7521391369047619,0.3289930555555556,2.9233608419256907,0.7519351372353013,0.28125,0.234375
Separation,object_delete,0.05,0.90997314453125,0.790283203125,0.9914163256448413,0.03447420634920635,0.9187426570873319,0.9308666451982709,0.9375,0.9375
Separation,object_delete,0.1,0.873870849609375,0.740869140625,0.9794960627480159,0.06225198412698413,0.8292929046268586,0.8503485500148056,0.875,0.796875
Separation,object_delete,0.2,0.81134033203125,0.58662109375,0.9266531808035714,0.1134672619047619,0.6451507697493791,0.6779489781015271,0.671875,0.59375
Separation,object_delete,0.3,0.7272186279296875,0.49868164062500003,0.846435546875,0.1987847222222222,0.4303238855331095,0.4689029969566691,0.3125,0.1875
Separation,object_delete,0.4,0.6977386474609375,0.48173828125,0.7974795386904762,0.2340029761904762,0.31933665404631384,0.35295113061950534,0.203125,0.109375
Separation,object_delete,0.5,0.6810455322265625,0.44990234375,0.7797309027777778,0.23821924603174605,0.23832233894271973,0.27007997541883144,0.109375,0.046875
Separation,object_delete,0.6,0.642791748046875,0.454833984375,0.6959402901785714,0.3115079365079365,0.16671210022937505,0.19886243869915815,0.03125,0.015625
Separation,object_delete,0.7,0.5915374755859375,0.41171875,0.5496264260912699,0.45250496031746035,0.1068232767304201,0.12729001113146612,0.0,0.0
Separation,object_delete,0.8,0.442352294921875,0.0,0.33903382316468256,0.6245039682539683,0.043130154965117365,0.060114025411386475,0.0,0.0
Separation,building_delete,0.1,0.8886871337890625,0.648974609375,0.9669751364087301,0.09449404761904762,0.8736052582757571,0.8740789744577266,0.859375,0.859375
Separation,building_delete,0.2,0.8222503662109375,0.6099609375,0.9385928199404762,0.1409970238095238,0.7384664096254107,0.7416370629509254,0.671875,0.625
Separation,building_delete,0.4,0.76849365234375,0.573974609375,0.8978252108134921,0.17100694444444445,0.6200193376820656,0.6248562708553731,0.5,0.4375
Separation,building_delete,0.6,0.675872802734375,0.459130859375,0.7415519593253969,0.2977430555555556,0.3715438538002049,0.3866924749646607,0.203125,0.15625
Separation,building_delete,0.8,0.6280059814453125,0.459130859375,0.6461937313988095,0.35999503968253965,0.24020551922458416,0.24990009455644877,0.03125,0.015625
